metric,profile,baseline,topology,load_tps,n_pairs,baseline_mean,profile_mean,delta_improvement_ms,delta_improvement_pct,ci_low,ci_high,ci_halfwidth_rel,p_value,significant,holm_p,holm_reject
p95_ms,C1,C0,T1_vpn,25,3,1979.800000,1029.800000,950.000000,47.984645,950.000000,950.000000,0.000000,0.000100,True,,
p95_ms,C1,C0,T1_vpn,50,3,1963.133333,1029.800000,933.333333,47.543043,925.000000,950.000000,0.006367,0.000100,True,,
p95_ms,C1,C0,T1_vpn,100,3,1963.133333,1013.133333,950.000000,48.392026,925.000000,975.000000,0.012735,0.000100,True,,
p95_ms,C1,C0,T1_vpn,200,3,6754.800000,1029.800000,5725.000000,84.754545,5675.000000,5825.000000,0.011103,0.000100,True,,
p95_ms,C1,C0,T1_vpn,400,3,28863.133333,6121.466667,22741.666667,78.791399,22650.000000,22825.000000,0.003032,0.000100,True,,
p95_ms,C1,C0,T2_three_region_emulated,25,3,2103.000000,1153.000000,950.000000,45.173562,900.000000,1025.000000,0.029719,0.000100,True,,
p95_ms,C1,C0,T2_three_region_emulated,50,3,2119.666667,1153.000000,966.666667,45.604655,950.000000,975.000000,0.005897,0.000100,True,,
p95_ms,C1,C0,T2_three_region_emulated,100,3,2094.666667,1153.000000,941.666667,44.955442,925.000000,950.000000,0.005968,0.000100,True,,
p95_ms,C1,C0,T2_three_region_emulated,200,3,6878.000000,1169.666667,5708.333333,82.994087,5625.000000,5825.000000,0.014539,0.000100,True,,
p95_ms,C1,C0,T2_three_region_emulated,400,3,28861.333333,6236.333333,22625.000000,78.392082,22525.000000,22800.000000,0.004764,0.000100,True,,
p95_ms,C2,C0,T0_local,25,3,1934.733333,751.400000,1183.333333,61.162606,1175.000000,1200.000000,0.006461,0.000100,True,,
p95_ms,C2,C0,T0_local,50,3,1918.066667,751.400000,1166.666667,60.825136,1150.000000,1175.000000,0.006517,0.000100,True,,
p95_ms,C2,C0,T0_local,100,3,1926.400000,751.400000,1175.000000,60.994601,1175.000000,1175.000000,0.000000,0.000100,True,,
p95_ms,C2,C0,T0_local,200,3,6726.400000,751.400000,5975.000000,88.829091,5925.000000,6075.000000,0.011150,0.000100,True,,
p95_ms,C2,C0,T0_local,400,3,28834.733333,751.400000,28083.333333,97.394115,28025.000000,28150.000000,0.002168,0.000100,True,,
p95_ms,C2,C0,T1_vpn,25,3,1979.800000,779.800000,1200.000000,60.612183,1200.000000,1200.000000,0.000000,0.000100,True,,
p95_ms,C2,C0,T1_vpn,50,3,1963.133333,788.133333,1175.000000,59.853296,1150.000000,1200.000000,0.012735,0.000100,True,,
p95_ms,C2,C0,T1_vpn,100,3,1963.133333,779.800000,1183.333333,60.277787,1175.000000,1200.000000,0.006367,0.000100,True,,
p95_ms,C2,C0,T1_vpn,200,3,6754.800000,779.800000,5975.000000,88.455617,5925.000000,6075.000000,0.011103,0.000100,True,,
p95_ms,C2,C0,T1_vpn,400,3,28863.133333,779.800000,28083.333333,97.298284,28025.000000,28150.000000,0.002165,0.000100,True,,
p95_ms,C2,C0,T2_three_region_emulated,25,3,2103.000000,903.000000,1200.000000,57.061341,1175.000000,1250.000000,0.017832,0.000100,True,,
p95_ms,C2,C0,T2_three_region_emulated,50,3,2119.666667,928.000000,1191.666667,56.219531,1175.000000,1200.000000,0.005897,0.000100,True,,
p95_ms,C2,C0,T2_three_region_emulated,100,3,2094.666667,911.333333,1183.333333,56.492680,1175.000000,1200.000000,0.005968,0.000100,True,,
p95_ms,C2,C0,T2_three_region_emulated,200,3,6878.000000,936.333333,5941.666667,86.386546,5875.000000,6050.000000,0.012722,0.000100,True,,
p95_ms,C2,C0,T2_three_region_emulated,400,3,28861.333333,961.333333,27900.000000,96.669131,27800.000000,28050.000000,0.004331,0.000100,True,,
p95_ms,C3,C0,T0_local,25,3,1934.733333,509.733333,1425.000000,73.653561,1425.000000,1425.000000,0.000000,0.000100,True,,
p95_ms,C3,C0,T0_local,50,3,1918.066667,509.733333,1408.333333,73.424629,1400.000000,1425.000000,0.006517,0.000100,True,,
p95_ms,C3,C0,T0_local,100,3,1926.400000,501.400000,1425.000000,73.972176,1425.000000,1425.000000,0.000000,0.000100,True,,
p95_ms,C3,C0,T0_local,200,3,6726.400000,501.400000,6225.000000,92.545790,6175.000000,6325.000000,0.011150,0.000100,True,,
p95_ms,C3,C0,T0_local,400,3,28834.733333,501.400000,28333.333333,98.261125,28275.000000,28400.000000,0.002168,0.000100,True,,
p95_ms,C3,C0,T1_vpn,25,3,1979.800000,554.800000,1425.000000,71.976967,1425.000000,1425.000000,0.000000,0.000100,True,,
p95_ms,C3,C0,T1_vpn,50,3,1963.133333,554.800000,1408.333333,71.739057,1400.000000,1425.000000,0.006367,0.000100,True,,
p95_ms,C3,C0,T1_vpn,100,3,1963.133333,546.466667,1416.666667,72.163548,1400.000000,1450.000000,0.012735,0.000100,True,,
p95_ms,C3,C0,T1_vpn,200,3,6754.800000,554.800000,6200.000000,91.786581,6150.000000,6300.000000,0.011103,0.000100,True,,
p95_ms,C3,C0,T1_vpn,400,3,28863.133333,554.800000,28308.333333,98.077825,28250.000000,28375.000000,0.002165,0.000100,True,,
p95_ms,C3,C0,T2_three_region_emulated,25,3,2103.000000,686.333333,1416.666667,67.364083,1375.000000,1475.000000,0.023776,0.000100,True,,
p95_ms,C3,C0,T2_three_region_emulated,50,3,2119.666667,711.333333,1408.333333,66.441264,1375.000000,1425.000000,0.011794,0.000100,True,,
p95_ms,C3,C0,T2_three_region_emulated,100,3,2094.666667,694.666667,1400.000000,66.836410,1375.000000,1425.000000,0.011935,0.000100,True,,
p95_ms,C3,C0,T2_three_region_emulated,200,3,6878.000000,703.000000,6175.000000,89.779006,6100.000000,6300.000000,0.014539,0.000100,True,,
p95_ms,C3,C0,T2_three_region_emulated,400,3,28861.333333,703.000000,28158.333333,97.564215,28050.000000,28275.000000,0.003898,0.000100,True,,
p95_ms,C4,C0,T0_local,25,3,1934.733333,276.400000,1658.333333,85.713793,1650.000000,1675.000000,0.006461,0.000100,True,,
p95_ms,C4,C0,T0_local,50,3,1918.066667,276.400000,1641.666667,85.589656,1625.000000,1650.000000,0.006517,0.000100,True,,
p95_ms,C4,C0,T0_local,100,3,1926.400000,276.400000,1650.000000,85.651993,1650.000000,1650.000000,0.000000,0.000100,True,,
p95_ms,C4,C0,T0_local,200,3,6726.400000,276.400000,6450.000000,95.890818,6400.000000,6550.000000,0.011150,0.000100,True,,
p95_ms,C4,C0,T0_local,400,3,28834.733333,276.400000,28558.333333,99.041434,28500.000000,28625.000000,0.002168,0.000100,True,,
p95_ms,C4,C0,T1_vpn,25,3,1979.800000,321.466667,1658.333333,83.762670,1650.000000,1675.000000,0.006314,0.000100,True,,
p95_ms,C4,C0,T1_vpn,50,3,1963.133333,304.800000,1658.333333,84.473800,1650.000000,1675.000000,0.006367,0.000100,True,,
p95_ms,C4,C0,T1_vpn,100,3,1963.133333,304.800000,1658.333333,84.473800,1650.000000,1675.000000,0.006367,0.000100,True,,
p95_ms,C4,C0,T1_vpn,200,3,6754.800000,304.800000,6450.000000,95.487653,6400.000000,6550.000000,0.011103,0.000100,True,,
