run_id,config,topology,load_tps,repeat,trace_id,provenance,n_submitted,n_success,n_timeout,window_s,p50_ms,p95_ms,p99_ms,all_p50_ms,all_p95_ms,all_p99_ms,convergence_p99_ms,goodput_tps,availability_pct,consistency_pct,p99_drift_pct,observed_block_interval_ms,tx_per_block_mean,queue_slope_tx_per_s,queue_slope_ci_low,queue_slope_ci_high,queue_depth_p95,cpu_p95_pct,cpu_max_pct,cpu_saturated_s,disk_p99_ms,mem_p95_mib
RUN-0192,C0,T2_three_region_emulated,25,3,L25-R03,SIMULATED,500,500,0,19.970211,1178.000000,2153.000000,2228.000000,1228.000000,2203.000000,2278.000000,125.000000,25.037292,100.000000,100.000000,3.443526,2000.000000,48.076923,-0.654762,-2.000000,0.333333,43.000000,14.869713,14.911660,0.000000,5.083123,1889.628800
RUN-0219,C0,T2_three_region_emulated,50,1,L50-R01,SIMULATED,1000,1000,0,19.997491,1228.000000,2128.000000,2228.000000,1278.000000,2178.000000,2278.000000,100.000000,50.006273,100.000000,100.000000,2.269632,2000.000000,96.153846,-0.225000,-1.750000,0.750000,82.000000,19.567762,20.239080,0.000000,2.174526,1925.571200
RUN-0212,C0,T2_three_region_emulated,50,2,L50-R02,SIMULATED,1000,1000,0,19.987437,1203.000000,2128.000000,2278.000000,1253.000000,2178.000000,2353.000000,100.000000,50.031428,100.000000,100.000000,6.887052,2000.000000,96.153846,-0.750000,-3.230769,0.666667,85.000000,20.133530,21.141549,0.000000,2.946564,1928.336000
RUN-0213,C0,T2_three_region_emulated,50,3,L50-R03,SIMULATED,1000,1000,0,19.988535,1203.000000,2103.000000,2278.000000,1253.000000,2178.000000,2328.000000,125.000000,50.028679,100.000000,100.000000,-8.591065,2000.000000,96.153846,-1.066964,-3.000000,0.250000,84.000000,19.257845,20.670477,0.000000,4.710051,1927.414400
RUN-0157,C0,T2_three_region_emulated,100,1,L100-R01,SIMULATED,2000,2000,0,19.998204,1203.000000,2103.000000,2203.000000,1228.000000,2153.000000,2253.000000,100.000000,100.008983,100.000000,100.000000,-2.244165,2000.000000,192.307692,-0.305556,-3.250000,1.625000,161.000000,28.311832,29.196224,0.000000,7.376032,1998.377600
RUN-0155,C0,T2_three_region_emulated,100,2,L100-R02,SIMULATED,2000,2000,0,19.986017,1178.000000,2103.000000,2178.000000,1228.000000,2153.000000,2278.000000,175.000000,100.069965,100.000000,100.000000,2.295684,2000.000000,192.307692,0.666667,-2.250000,3.300000,165.000000,27.673698,27.742672,0.000000,4.410250,2002.064000
RUN-0151,C0,T2_three_region_emulated,100,3,L100-R03,SIMULATED,2000,2000,0,19.990370,1203.000000,2078.000000,2153.000000,1228.000000,2103.000000,2228.000000,125.000000,100.048173,100.000000,100.000000,0.000000,2000.000000,192.307692,-0.300000,-3.500000,1.500000,158.000000,27.868321,28.536454,0.000000,6.188875,1995.612800
RUN-0167,C0,T2_three_region_emulated,200,1,L200-R01,SIMULATED,4000,4000,0,19.991344,4653.000000,7003.000000,7503.000000,4703.000000,7103.000000,7553.000000,175.000000,200.086600,100.000000,100.000000,37.988423,2000.000000,312.500000,36.154762,31.000000,39.500000,1044.000000,38.277007,38.296226,0.000000,3.106072,2812.150400
RUN-0169,C0,T2_three_region_emulated,200,2,L200-R02,SIMULATED,4000,4000,0,19.999186,4328.000000,6803.000000,7453.000000,4378.000000,6828.000000,7478.000000,100.000000,200.008145,100.000000,100.000000,41.291291,2000.000000,312.500000,36.250000,29.875000,41.083333,1008.000000,37.617673,38.033040,0.000000,5.133545,2778.972800
RUN-0168,C0,T2_three_region_emulated,200,3,L200-R03,SIMULATED,4000,4000,0,19.995274,4378.000000,6828.000000,7528.000000,4428.000000,6878.000000,7628.000000,125.000000,200.047271,100.000000,100.000000,46.127234,2000.000000,312.500000,37.850000,31.375000,40.700000,1011.000000,37.954445,38.080743,0.000000,5.454451,2781.737600
RUN-0198,C0,T2_three_region_emulated,400,1,L400-R01,SIMULATED,8000,5875,2125,19.996597,19278.000000,28828.000000,29378.000000,19278.000000,28853.000000,29403.000000,125.000000,293.799983,73.437500,100.000000,49.992463,2000.000000,322.580645,240.458333,234.000000,244.000000,5820.000000,37.419831,37.499393,0.000000,3.479349,7213.712000
RUN-0207,C0,T2_three_region_emulated,400,2,L400-R02,SIMULATED,8000,5824,2176,19.999390,19353.000000,28778.000000,29403.000000,19353.000000,28803.000000,29428.000000,100.000000,291.208878,72.800000,100.000000,56.017587,2000.000000,322.580645,234.802083,229.500000,239.875000,5803.000000,37.791727,38.455252,0.000000,5.685173,7198.044800
RUN-0204,C0,T2_three_region_emulated,400,3,L400-R03,SIMULATED,8000,5937,2063,19.998896,19378.000000,28978.000000,29853.000000,19453.000000,29003.000000,29853.000000,125.000000,296.866389,74.212500,100.000000,50.055199,2000.000000,322.580645,236.700000,231.333333,240.500000,5808.000000,37.504844,37.663905,0.000000,4.797453,7202.652800
RUN-0033,C1,T0_local,25,1,L25-R01,SIMULATED,500,500,0,19.961527,551.400000,1001.400000,1026.400000,551.400000,1001.400000,1026.400000,25.000000,25.048183,100.000000,100.000000,0.000000,1000.000000,25.000000,0.107955,-0.250000,0.500000,19.000000,13.687752,13.987553,0.000000,7.669164,1867.510400
RUN-0039,C1,T0_local,25,2,L25-R02,SIMULATED,500,500,0,19.989688,551.400000,1001.400000,1026.400000,551.400000,1001.400000,1026.400000,25.000000,25.012896,100.000000,100.000000,0.000000,1000.000000,25.000000,0.000000,-0.181818,0.285714,17.000000,14.124289,14.245581,0.000000,8.348457,1865.667200
RUN-0032,C1,T0_local,25,3,L25-R03,SIMULATED,500,500,0,19.970211,576.400000,1001.400000,1026.400000,576.400000,1001.400000,1026.400000,25.000000,25.037292,100.000000,100.000000,0.000000,1000.000000,25.000000,-0.376263,-0.666667,-0.100000,20.000000,13.628434,15.282994,0.000000,5.808337,1868.432000
RUN-0074,C1,T0_local,50,1,L50-R01,SIMULATED,1000,1000,0,19.997491,501.400000,976.400000,1026.400000,526.400000,976.400000,1026.400000,25.000000,50.006273,100.000000,100.000000,0.000000,1000.000000,50.000000,0.182540,-0.312500,0.500000,31.000000,16.388391,16.885022,0.000000,4.027748,1878.569600
RUN-0070,C1,T0_local,50,2,L50-R02,SIMULATED,1000,1000,0,19.987437,551.400000,976.400000,1026.400000,551.400000,976.400000,1026.400000,25.000000,50.031428,100.000000,100.000000,0.000000,1000.000000,50.000000,-0.198052,-0.800000,0.250000,31.000000,16.427500,16.637386,0.000000,6.438931,1878.569600
RUN-0072,C1,T0_local,50,3,L50-R03,SIMULATED,1000,1000,0,19.988535,526.400000,1001.400000,1026.400000,526.400000,1001.400000,1026.400000,25.000000,50.028679,100.000000,100.000000,0.000000,1000.000000,50.000000,-0.566964,-1.000000,-0.157895,35.000000,15.811817,16.155318,0.000000,4.692192,1882.256000
RUN-0002,C1,T0_local,100,1,L100-R01,SIMULATED,2000,2000,0,19.998204,526.400000,976.400000,1026.400000,526.400000,976.400000,1026.400000,25.000000,100.008983,100.000000,100.000000,0.000000,1000.000000,100.000000,0.000000,-0.500000,0.750000,62.000000,20.224093,20.334911,0.000000,5.640573,1907.139200
RUN-0015,C1,T0_local,100,2,L100-R02,SIMULATED,2000,2000,0,19.986017,551.400000,976.400000,1026.400000,551.400000,976.400000,1026.400000,25.000000,100.069965,100.000000,100.000000,0.000000,1000.000000,100.000000,0.625874,-0.133333,1.214286,67.000000,20.221740,20.873518,0.000000,5.169072,1911.747200
RUN-0005,C1,T0_local,100,3,L100-R03,SIMULATED,2000,2000,0,19.990370,551.400000,976.400000,1026.400000,551.400000,976.400000,1026.400000,25.000000,100.048173,100.000000,100.000000,0.000000,1000.000000,100.000000,0.174242,-0.500000,0.500000,61.000000,21.138365,21.835051,0.000000,6.008637,1906.217600
RUN-0019,C1,T0_local,200,1,L200-R01,SIMULATED,4000,4000,0,19.991344,551.400000,1001.400000,1026.400000,551.400000,1001.400000,1026.400000,25.000000,200.086600,100.000000,100.000000,0.000000,1000.000000,200.000000,0.000000,-0.750000,1.062500,113.000000,29.527099,29.549476,0.000000,5.590233,1954.140800
