run_id,replicate_id,truth_id,kind,cause,site_id,target,stage,intensity,onset_utc,end_utc,onset_step,end_step,expected_observable,notes
power-outage,0,transition:power_state:469,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:07:49Z,2026-09-03T09:07:50Z,469,470,power_state,
power-outage,0,transition:protection_trip:469,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:07:49Z,2026-09-03T09:07:50Z,469,470,protection_trip,
power-outage,0,transition:shed_groups:469,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:07:49Z,2026-09-03T09:07:50Z,469,470,shed_groups,
power-outage,0,transition:ap_online:site_a:469,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:07:49Z,2026-09-03T09:07:50Z,469,470,ap_online:site_a,
power-outage,0,transition:power_state:484,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:08:04Z,2026-09-03T09:08:05Z,484,485,power_state,
power-outage,0,transition:shed_groups:484,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:08:04Z,2026-09-03T09:08:05Z,484,485,shed_groups,
power-outage,0,transition:ap_online:site_a:484,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:08:04Z,2026-09-03T09:08:05Z,484,485,ap_online:site_a,
power-outage,0,transition:protection_trip:485,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:08:05Z,2026-09-03T09:08:06Z,485,486,protection_trip,
power-outage,0,transition:power_state:486,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:08:06Z,2026-09-03T09:08:07Z,486,487,power_state,
power-outage,0,transition:protection_trip:486,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:08:06Z,2026-09-03T09:08:07Z,486,487,protection_trip,
power-outage,0,transition:shed_groups:486,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:08:06Z,2026-09-03T09:08:07Z,486,487,shed_groups,
power-outage,0,transition:ap_online:site_a:486,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:08:06Z,2026-09-03T09:08:07Z,486,487,ap_online:site_a,
power-outage,0,transition:power_state:501,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:08:21Z,2026-09-03T09:08:22Z,501,502,power_state,
power-outage,0,transition:shed_groups:501,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:08:21Z,2026-09-03T09:08:22Z,501,502,shed_groups,
power-outage,0,transition:ap_online:site_a:501,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:08:21Z,2026-09-03T09:08:22Z,501,502,ap_online:site_a,
power-outage,0,transition:protection_trip:502,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:08:22Z,2026-09-03T09:08:23Z,502,503,protection_trip,
power-outage,0,transition:power_state:503,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:08:23Z,2026-09-03T09:08:24Z,503,504,power_state,
power-outage,0,transition:protection_trip:503,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:08:23Z,2026-09-03T09:08:24Z,503,504,protection_trip,
power-outage,0,transition:shed_groups:503,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:08:23Z,2026-09-03T09:08:24Z,503,504,shed_groups,
power-outage,0,transition:ap_online:site_a:503,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:08:23Z,2026-09-03T09:08:24Z,503,504,ap_online:site_a,
power-outage,0,transition:power_state:518,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:08:38Z,2026-09-03T09:08:39Z,518,519,power_state,
power-outage,0,transition:shed_groups:518,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:08:38Z,2026-09-03T09:08:39Z,518,519,shed_groups,
power-outage,0,transition:ap_online:site_a:518,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:08:38Z,2026-09-03T09:08:39Z,518,519,ap_online:site_a,
power-outage,0,transition:protection_trip:519,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:08:39Z,2026-09-03T09:08:40Z,519,520,protection_trip,
power-outage,0,transition:power_state:520,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:08:40Z,2026-09-03T09:08:41Z,520,521,power_state,
power-outage,0,transition:protection_trip:520,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:08:40Z,2026-09-03T09:08:41Z,520,521,protection_trip,
power-outage,0,transition:shed_groups:520,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:08:40Z,2026-09-03T09:08:41Z,520,521,shed_groups,
power-outage,0,transition:ap_online:site_a:520,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:08:40Z,2026-09-03T09:08:41Z,520,521,ap_online:site_a,
power-outage,0,transition:power_state:535,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:08:55Z,2026-09-03T09:08:56Z,535,536,power_state,
power-outage,0,transition:shed_groups:535,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:08:55Z,2026-09-03T09:08:56Z,535,536,shed_groups,
power-outage,0,transition:ap_online:site_a:535,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:08:55Z,2026-09-03T09:08:56Z,535,536,ap_online:site_a,
power-outage,0,transition:protection_trip:536,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:08:56Z,2026-09-03T09:08:57Z,536,537,protection_trip,
power-outage,0,transition:power_state:537,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:08:57Z,2026-09-03T09:08:58Z,537,538,power_state,
power-outage,0,transition:protection_trip:537,transition,protection_trip,site_a,protection_trip,OCP_DSG->,,2026-09-03T09:08:57Z,2026-09-03T09:08:58Z,537,538,protection_trip,
power-outage,0,transition:shed_groups:537,transition,shed_groups,site_a,shed_groups,"()->(3,)",,2026-09-03T09:08:57Z,2026-09-03T09:08:58Z,537,538,shed_groups,
power-outage,0,transition:ap_online:site_a:537,transition,ap_online:site_a,site_a,ap_online:site_a,48->12,,2026-09-03T09:08:57Z,2026-09-03T09:08:58Z,537,538,ap_online:site_a,
power-outage,0,transition:power_state:552,transition,power_state,site_a,power_state,LOAD_SHED->BATTERY,,2026-09-03T09:09:12Z,2026-09-03T09:09:13Z,552,553,power_state,
power-outage,0,transition:shed_groups:552,transition,shed_groups,site_a,shed_groups,"(3,)->()",,2026-09-03T09:09:12Z,2026-09-03T09:09:13Z,552,553,shed_groups,
power-outage,0,transition:ap_online:site_a:552,transition,ap_online:site_a,site_a,ap_online:site_a,12->48,,2026-09-03T09:09:12Z,2026-09-03T09:09:13Z,552,553,ap_online:site_a,
power-outage,0,transition:protection_trip:553,transition,protection_trip,site_a,protection_trip,->OCP_DSG,,2026-09-03T09:09:13Z,2026-09-03T09:09:14Z,553,554,protection_trip,
power-outage,0,transition:power_state:554,transition,power_state,site_a,power_state,BATTERY->LOAD_SHED,,2026-09-03T09:09:14Z,2026-09-03T09:09:15Z,554,555,power_state,
