member,seed_node,catastrophe,T_cat,terminal_cascade_size,peak_backlog,max_dalA,nan_flag,fault_magnitude,seed_index,backlog_pert,history_phase,history_amp,alpha,beta,prop_mult,backlog_mult,conflict_mult,reconf_mult,xi_mult,delay_mult
16,RDC1,False,,0.0,0.4347840698369062,0.05268612650659303,False,0.5111930224462791,0.06346829578201639,0.09965447849849673,0.939636454752669,0.04878249477785782,0.7608286713662333,0.7805732757644849,0.9792543794947604,1.0395578273270547,1.0803167181100228,1.0726147699008888,0.9655293548068772,1.106401258747591
17,RDC2,False,,0.0,0.5574514515255039,0.13244926506390575,False,0.6421601122494953,0.15396961448257382,0.05649584805096941,0.5309461893407394,0.033015545040620965,0.818190404708939,0.7701333037377358,1.0530084205473353,0.9072524355879372,0.9010420196124745,0.9429375148495396,1.0001823032054926,1.0593959745549664
18,RDC10,False,,0.0,0.40461678476701285,0.030533870260519347,False,0.590478770431037,0.900940102170349,0.08977753598162767,0.02712136745802802,0.0240788926999123,0.7523481321063067,0.8210345350576068,0.9127158325292972,1.0621013342148855,0.9543463032295219,1.0066506640301327,0.9738100122513991,1.0951458672535552
19,RDC9,False,,0.0,0.37717321180571384,0.022186449200020716,False,0.512901334633789,0.8666607606774719,0.07731356421747328,0.22564624281135034,0.038270325620188395,0.8349894249599699,0.7751776775551569,0.9073771010715739,0.9413257330983971,0.9518567961975115,1.0207507458469989,0.9852213878495613,1.017955834950863
20,RDC4,False,,0.0,0.47836789058941426,0.07637694902679942,False,0.5335490382572194,0.3922789287436935,0.03490327699330855,0.05459081662109977,0.04262555817139506,0.7806336922914595,0.8001238695236755,0.9650863696448322,1.0757682072112782,0.9740462193722189,0.965088198534219,1.0302472108714047,0.9556869871767772
21,RDC3,False,,0.0,0.4227837483214593,0.06019972470331879,False,0.45802055102374023,0.25847999676122163,0.008875043714958345,0.7272356369753302,0.03728764630423032,0.785514714321712,0.7575717074724304,0.9599309209466519,0.9168059374792169,0.9305160814509472,0.9880424922404232,1.0094458400518742,0.9562725261126063
22,RDC2,False,,0.0,0.6031307213264357,0.1380986547092671,False,0.6359056745606206,0.10787604651937235,0.03393362008126927,0.9983033810278098,0.046627783289060476,0.8397390308979151,0.77688776169919,1.0761132248903928,0.9846328212155611,1.0140836405421574,0.9833409804504891,0.9978077417130894,1.163452844926144
23,RDC9,False,,0.0,0.493821927111723,0.08416996650167666,False,0.4885245690680292,0.8583583480854018,0.05119764784958221,0.8978831691020335,0.04056854033037498,0.8119433254227088,0.7916185825899852,0.9691961380099212,1.0880475157670628,0.9142045453370518,0.9452310963345408,0.9725753171667215,1.0371394183452762
24,RDC2,False,,0.0,0.49383203342049425,0.085027002526193,False,0.447391748370553,0.19105847491980532,0.028312806226582228,0.6748468812867321,0.0040496578749928454,0.7906690077022163,0.7516325535135152,1.01129713503589,1.0650209761994773,0.9679305411467585,1.0170941864891665,0.9866833824310541,0.8750272598373567
25,RDC6,False,,0.0,0.6578688633777781,0.15741825942127438,False,0.5978556607294105,0.5920245585890599,0.09061440893483577,0.18019256143078785,0.009793624074251108,0.7923022926350137,0.7996946273203215,1.0823470081996,0.9915738601389571,0.9254496258723989,0.9394149633009987,0.9638706438734767,1.040997617913074
