20260748,15..20,17.5,0.62499,27762
20260748,20..30,25.0,0.66168,26053
20260749,-5..0,-2.5,0.32094,324
20260749,0..5,2.5,0.51051,3172
20260749,5..10,7.5,0.53753,19712
20260749,10..15,12.5,0.59766,29883
20260749,15..20,17.5,0.74522,26831
20260749,20..30,25.0,0.68002,30471
20260750,-5..0,-2.5,0.28215,315
20260750,0..5,2.5,0.48471,3579
20260750,5..10,7.5,0.51423,17579
20260750,10..15,12.5,0.61173,33861
20260750,15..20,17.5,0.65672,29258
20260750,20..30,25.0,0.64813,30065
20260751,-5..0,-2.5,0.29188,327
20260751,0..5,2.5,0.48689,3290
20260751,5..10,7.5,0.50208,19743
20260751,10..15,12.5,0.51861,35824
20260751,15..20,17.5,0.70063,31476
20260751,20..30,25.0,0.64838,27427
20260752,-5..0,-2.5,0.27184,488
20260752,0..5,2.5,0.48307,3034
20260752,5..10,7.5,0.52598,19135
20260752,10..15,12.5,0.57036,33670
20260752,15..20,17.5,0.64443,27038
20260752,20..30,25.0,0.65613,31809
20260753,-5..0,-2.5,0.29403,428
20260753,0..5,2.5,0.48791,3276
20260753,5..10,7.5,0.50961,17877
20260753,10..15,12.5,0.51443,34412
20260753,15..20,17.5,0.62024,27434
20260753,20..30,25.0,0.64694,28494
20260754,-5..0,-2.5,0.29619,339
20260754,0..5,2.5,0.50704,3040
20260754,5..10,7.5,0.52833,17158
20260754,10..15,12.5,0.60156,33630
20260754,15..20,17.5,0.65931,31611
20260754,20..30,25.0,0.67444,31289
20260755,-5..0,-2.5,0.27633,315
20260755,0..5,2.5,0.49512,3447
20260755,5..10,7.5,0.53807,19230
20260755,10..15,12.5,0.52188,32550
20260755,15..20,17.5,0.56917,27092
20260755,20..30,25.0,0.64447,27827
20260756,-5..0,-2.5,0.29122,283
20260756,0..5,2.5,0.47353,3228
20260756,5..10,7.5,0.53345,18394
20260756,10..15,12.5,0.50210,35082
20260756,15..20,17.5,0.64267,25898
20260756,20..30,25.0,0.67501,29538
20260757,-5..0,-2.5,0.30640,378
20260757,0..5,2.5,0.52811,3175
20260757,5..10,7.5,0.51565,17570
20260757,10..15,12.5,0.55541,36226
20260757,15..20,17.5,0.62603,27649
20260757,20..30,25.0,0.65037,25952
20260758,-5..0,-2.5,0.28574,353
20260758,0..5,2.5,0.49413,2983
20260758,5..10,7.5,0.52995,19195
20260758,10..15,12.5,0.57866,36917
20260758,15..20,17.5,0.66469,29915
20260758,20..30,25.0,0.66009,28857
20260759,-5..0,-2.5,0.32028,348
20260759,0..5,2.5,0.50099,3786
20260759,5..10,7.5,0.51885,18466
20260759,10..15,12.5,0.54079,33991
20260759,15..20,17.5,0.69564,29373
20260759,20..30,25.0,0.67669,26367
