scenario,arm,metric,n,n_missing,mean,sd,median,q1,q3,ci_lo,ci_hi
S1,A3,fp_rate_holdout,54,0,0.019537037037037002,0.0034279674541230526,0.019374999999999948,0.016770833333333277,0.021979166666666626,0.018649691358024658,0.02045524691358021
S1,A3,blast_recall,54,0,0.5277777777777778,0.045210896443586515,0.5,0.5,0.6,0.5166666666666666,0.5407407407407407
S1,A3,whatif_abs_err,54,0,0.2061270569181683,0.02171384424828502,0.20824179058998077,0.19037004708216249,0.21976167147247988,0.20033700805399943,0.21188941291900582
S1,A3,orchestrator_cpu_s,54,0,0.0003671430000001037,4.329011137657023e-05,0.00037170300000115004,0.00034058524999995,0.0003987145000001,0.0003557370004629124,0.00037828185694463684
S1,A3,availability_below_amin,54,0,0.07672067901234565,0.0038775869638627693,0.07666666666666665,0.0733333333333333,0.08,0.07570216049382715,0.07773148148148144
S1,A3,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,A3,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A3,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A3,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A3,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A3,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A3,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A3,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A3,censored_restore,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A4,detection_latency,54,0,35.370370370370374,4.489174804602214,35.25,32.0,39.0,34.18518518518518,36.56481481481482
S1,A4,containment_latency,54,0,52.37137037037037,4.489174804602214,52.250999999999976,49.000999999999976,56.000999999999976,51.19544444444445,53.59359259259259
S1,A4,t_service_restore,54,0,99.00925925925925,4.704966004269079,98.5,95.5,102.375,97.77777777777777,100.28703703703704
S1,A4,nri,54,0,0.9754834828353056,0.00013124232307333065,0.9754959622206316,0.9754059934408787,0.9755697937195159,0.9754487004560762,0.9755173832778633
S1,A4,fp_rate_holdout,54,0,0.019537037037037002,0.0034279674541230526,0.019374999999999948,0.016770833333333277,0.021979166666666626,0.018634259259259225,0.020439814814814786
S1,A4,blast_recall,54,0,0.4166666666666667,0.13563268933075956,0.5,0.2,0.5,0.37777777777777777,0.45
S1,A4,whatif_abs_err,0,54,,,,,,,
S1,A4,orchestrator_cpu_s,54,0,7.08865555555917e-05,6.079595997974745e-06,7.136950000052877e-05,6.705074999957539e-05,7.39630000019531e-05,6.931528333340082e-05,7.2592174537264e-05
S1,A4,availability_below_amin,54,0,0.07673611111111109,0.0039310337990864095,0.0764583333333333,0.07375,0.07989583333333333,0.07569444444444441,0.0778009259259259
S1,A4,action_regret,54,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,A4,detected,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A4,contained,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A4,recovered,54,0,1.0,,,,,0.9335864119091037,1.0
S1,A4,policy_violation,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A4,unsafe_action,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A4,rollback,54,0,0.0,,,,,0.0,0.0664135880908964
S1,A4,action_optimal,54,0,1.0,,,,,0.9335864119091037,1.0
