seed,file,md5,rows
20260748,ustfuse_tracks.csv,fc130abb20ef7fe5ee5c685a3f0cd6a0,252784
20260748,fusemetrics_summary.csv,73b444afc45ed0e152e27d104670eef8,17
20260749,radartwin_measurements.csv,cc4856c65fa54d5eca6affedd15b8606,203069
20260749,radartwin_truth.csv,185810bcfe5f53ab4587c58f2650fc69,218607
20260749,ustfuse_classifications.csv,c5a1c8bee39d362cd439e5ee9b60aaad,203069
20260749,ustfuse_tracks.csv,d36cfd0d815acfafa84f86485b6b06d6,249205
20260749,fusemetrics_summary.csv,f8c7b28490ec6dd629663632ae8cb697,17
20260750,radartwin_measurements.csv,aadaf5f837fa3d678bd2217c87ac4914,204687
20260750,radartwin_truth.csv,021675ac6dbb7b319e650b637eff9069,221185
20260750,ustfuse_classifications.csv,2bc5482557c059bb8c3974daac53f0bd,204687
20260750,ustfuse_tracks.csv,b8c097fc787eebf9c1606ab2db52c54b,256254
20260750,fusemetrics_summary.csv,8c109017431cf0e8ddefc2653bb279cf,17
20260751,radartwin_measurements.csv,bb05f5e6f9c34af97d08773321fa6dc4,209944
20260751,radartwin_truth.csv,3127b3fd2bd101839a6b9e981d72425c,226219
20260751,ustfuse_classifications.csv,41931e843731c02995a472d1c4fd4f0e,209944
20260751,ustfuse_tracks.csv,12121d17b1bccc7be7c070f21a69cac3,268025
20260751,fusemetrics_summary.csv,ef42584707c11732e99528c9590233d6,17
20260752,radartwin_measurements.csv,0070e01629145f13249170f7af26f131,204989
20260752,radartwin_truth.csv,07a6b91ac11f2ace1fc48e7587472bd3,221504
20260752,ustfuse_classifications.csv,b17f828ec30dd6dd534f72b69ff7c28a,204989
20260752,ustfuse_tracks.csv,aae2349d4472d9ee579c2ca28f073315,256212
20260752,fusemetrics_summary.csv,faf0f4922c514a387ea0dfc9141bac30,17
20260753,radartwin_measurements.csv,ae0884b183d9363379f1fa9c1f852b0b,202825
20260753,radartwin_truth.csv,c2abd86e1734278988a445e22032b47b,220668
20260753,ustfuse_classifications.csv,9bc41514dee280fd490210f186478d68,202825
20260753,ustfuse_tracks.csv,ece4a2a85066f68b1f40e7888d545da6,255514
20260753,fusemetrics_summary.csv,6137511b45ce64b71e40477fadbd28a1,17
20260754,radartwin_measurements.csv,079ff8fb86b2ade68ee81610ecb6f20e,207058
20260754,radartwin_truth.csv,53e381510b23c481e7a77beebec6ee0a,220028
20260754,ustfuse_classifications.csv,003dce4d5a6eed2e8f6eac351a6f4529,207058
20260754,ustfuse_tracks.csv,2b81125e00305f161631eb0fc990ccea,259888
20260754,fusemetrics_summary.csv,019a2abc0ad006d6a561a277e7b02abf,17
20260755,radartwin_measurements.csv,89967820607a4a168c481442ebc4efca,200827
20260755,radartwin_truth.csv,c126ddf78b6b5af927be2bfd32b7be30,215007
20260755,ustfuse_classifications.csv,45a33cc5d2a0d4becb153555e7872930,200827
20260755,ustfuse_tracks.csv,38654b1595f67f151fef349a71df3596,249777
20260755,fusemetrics_summary.csv,a3c8b263485a59a6527a9ae3a7cb2374,17
20260756,radartwin_measurements.csv,b081aea3192b8b23bac17037f69139e7,204346
20260756,radartwin_truth.csv,bb07d46065599a800297c8d90fbacc3a,218110
20260756,ustfuse_classifications.csv,6f576f25547413f352e45cd75a32511f,204346
20260756,ustfuse_tracks.csv,7a888ae82a9159911b9e4377bd376b80,259257
20260756,fusemetrics_summary.csv,088bdfc36fe5519abc66d02e3abf2f31,17
20260757,radartwin_measurements.csv,52936707bc03935e39cf6f8394531b7c,201503
20260757,radartwin_truth.csv,85958f17d03be68342e7bea2b3dfc1e0,215614
20260757,ustfuse_classifications.csv,a0a6d461a40a56b9af145e11c27721dc,201503
20260757,ustfuse_tracks.csv,2d9921189fcd55ea1db2f03dcc8f9687,253941
20260757,fusemetrics_summary.csv,49985388ff6256d0479f5b2abde0e25a,17
20260758,radartwin_measurements.csv,6787e7660947ef3ace056aff900f64e7,206447
20260758,radartwin_truth.csv,24b7cdaad8db4973f62e18a576ac5f0a,222290
20260758,ustfuse_classifications.csv,3956bb0f2e1527b6e0ce8a71f9546e7a,206447
20260758,ustfuse_tracks.csv,551a1e2852842c5369f8919d9c1b8f4d,262719
20260758,fusemetrics_summary.csv,75b303a10575b7c4e5f125722b04ed16,17
20260759,radartwin_measurements.csv,f6300dbd06f97e9fea6ca8379bd8f470,202424
20260759,radartwin_truth.csv,f375c10f85a16563145cb93d419e6600,219441
20260759,ustfuse_classifications.csv,f33544609e9c9e16e2daa079a132571a,202424
20260759,ustfuse_tracks.csv,afac42645c831e916ac27b5d330fb782,252296
20260759,fusemetrics_summary.csv,49613a6f38329f4b9f5ea0f80955f1d4,17
