run_id,replicate_id,alert_id,step,timestamp_utc,site_id,detector,score,threshold,rule_hits,explanation,correlated_with,recommended_action,approval_required,shadow_mode
compound-challenge,0,alert-site_b-326,326,2026-09-03T09:05:26Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-327,327,2026-09-03T09:05:27Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-328,328,2026-09-03T09:05:28Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-329,329,2026-09-03T09:05:29Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-330,330,2026-09-03T09:05:30Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-331,331,2026-09-03T09:05:31Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-332,332,2026-09-03T09:05:32Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-333,333,2026-09-03T09:05:33Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-334,334,2026-09-03T09:05:34Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-335,335,2026-09-03T09:05:35Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-336,336,2026-09-03T09:05:36Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
compound-challenge,0,alert-site_b-337,337,2026-09-03T09:05:37Z,site_b,rules,0.35,0.35,scan_rate,connection/port counters above the benign envelope,,,1,1
