t_rel_s,mean,sd,ci95_lo,ci95_hi,n,scenario,method
189.0,0.9988940000000002,0.0016192051331310336,0.9981361886707457,0.9996518113292546,20,S2,framework
190.0,0.9988314999999999,0.0015906247531278816,0.9980870647003279,0.9995759352996718,20,S2,framework
191.0,0.9989699999999999,0.001931435244905491,0.998066060480317,0.9998739395196828,20,S2,framework
192.0,0.99903,0.0013218368399991569,0.9984113613159438,0.9996486386840562,20,S2,framework
193.0,0.9976600000000001,0.0018105393206387186,0.9968126415145514,0.9985073584854488,20,S2,framework
194.0,0.9991319999999998,0.0012835050693931474,0.9985313011368108,0.9997326988631888,20,S2,framework
195.0,0.9984415000000002,0.0015169369240607704,0.9977315516659094,0.999151448334091,20,S2,framework
196.0,0.9982575,0.001788294909742382,0.9974205522193131,0.9990944477806869,20,S2,framework
197.0,0.9979509999999999,0.0020955238008669827,0.9969702646721983,0.9989317353278016,20,S2,framework
198.0,0.9978130000000001,0.0018342590645242687,0.9969545403326964,0.9986714596673038,20,S2,framework
199.0,0.998272,0.0019124181441030918,0.997376960757461,0.9991670392425391,20,S2,framework
200.0,0.9990064999999999,0.0014042314811424654,0.9983492994368769,0.9996637005631229,20,S2,framework
201.0,0.9982105000000001,0.0022989298998034933,0.9971345676875426,0.9992864323124576,20,S2,framework
202.0,0.9990555000000001,0.001466479762811885,0.9983691663442809,0.9997418336557193,20,S2,framework
203.0,0.997884,0.0024498236241561754,0.996737447250707,0.999030552749293,20,S2,framework
204.0,0.9979585,0.001538951368883846,0.9972382485885827,0.9986787514114173,20,S2,framework
205.0,0.9989144999999999,0.0013479515648021803,0.9982836392485163,0.9995453607514836,20,S2,framework
206.0,0.9989975000000001,0.0014327921765045551,0.9983269326199902,0.99966806738001,20,S2,framework
207.0,0.998575,0.0015155770136190737,0.9978656881235873,0.9992843118764126,20,S2,framework
208.0,0.9983510000000001,0.0018889119675232747,0.9974669619867402,0.99923503801326,20,S2,framework
