t,weighted_x,weighted_q,reconfig_failure_prob,max_degradation,max_backlog
171.8,0.00017126016079909218,0.27554200899995224,0.001748151744444093,0.0025453951187158763,0.360371063364633
171.85000000000002,0.00017121639288209962,0.2755419954880937,0.001748150559596151,0.002544784481141593,0.36037101130831695
171.9,0.00017117265000376957,0.27554198198415103,0.0017481493754284427,0.0025441741721902167,0.3603709592822309
171.95000000000002,0.00017112893214187616,0.27554196848811685,0.001748148191940302,0.002543564191587522,0.36037090728634774
172.0,0.0001710852392742225,0.275541954999984,0.0017481470091311735,0.0025429545390595054,0.3603708553206402
172.05,0.00017104157137858527,0.2755419415197452,0.0017481458270005024,0.0025423452143306102,0.3603708033850813
172.10000000000002,0.000170997928432861,0.27554192804739364,0.0017481446455475669,0.0025417362171290536,0.36037075147964387
172.15,0.0001709543104148938,0.2755419145829219,0.0017481434647718674,0.0025411275471803885,0.3603706996043009
172.20000000000002,0.0001709107173025793,0.275541901126323,0.001748142284672738,0.002540519204211389,0.36037064775902544
172.25,0.00017086714907385382,0.27554188767758964,0.0017481411052495677,0.002539911187949717,0.36037059594379045
172.3,0.00017082360570669093,0.27554187423671483,0.0017481399265018571,0.0025393034981238127,0.360370544158569
172.35000000000002,0.000170780087179035,0.2755418608036915,0.0017481387484288846,0.0025386961344601167,0.36037049240333424
172.4,0.0001707365934688891,0.2755418473785124,0.001748137571030095,0.0025380890966867353,0.36037044067805923
172.45000000000002,0.00017069312455426103,0.27554183396117043,0.0017481363943049333,0.00253748238453122,0.36037038898271717
172.5,0.00017064968041323345,0.2755418205516588,0.0017481352182527332,0.0025368759977233424,0.3603703373172813
172.55,0.00017060626102388107,0.2755418071499702,0.0017481340428729397,0.002536269935991764,0.36037028568172474
172.60000000000002,0.00017056286636433745,0.2755417937560976,0.0017481328681649422,0.0025356641990668116,0.3603702340760208
172.65,0.00017051949641274462,0.27554178037003385,0.00174813169412813,0.002535058786678368,0.3603701825001428
172.70000000000002,0.00017047615114727208,0.275541766991772,0.001748130520761948,0.002534453698556649,0.360370130954064
172.75,0.00017043283054602536,0.2755417536213051,0.0017481293480657856,0.002533848934428762,0.3603700794377578
172.8,0.00017038953458727927,0.27554174025862604,0.0017481281760389766,0.0025332444940275867,0.3603700279511975
172.85000000000002,0.00017034626324932323,0.2755417269037278,0.001748127004681077,0.002532640377085893,0.36036997649435665
172.9,0.0001703030165103589,0.27554171355660323,0.0017481258339913652,0.002532036583332342,0.3603699250672086
172.95000000000002,0.00017025979434867966,0.27554170021724544,0.001748124663969286,0.0025314331124984824,0.36036987366972695
173.0,0.00017021659674261002,0.2755416868856476,0.0017481234946142843,0.0025308299643163057,0.360369822301885
173.05,0.0001701734236705385,0.2755416735618025,0.0017481223259257495,0.0025302271385195807,0.3603697709636566
173.10000000000002,0.00017013027511074695,0.27554166024570315,0.0017481211579030709,0.002529624634837413,0.3603697196550151
173.15,0.00017008715104170548,0.2755416469373427,0.0017481199905456934,0.0025290224530052363,0.3603696683759341
173.20000000000002,0.00017004405144181196,0.2755416336367142,0.0017481188238530065,0.002528420592755154,0.3603696171263874
173.25,0.00017000097628949652,0.2755416203438105,0.0017481176578243995,0.002527819053819713,0.3603695659063485
173.3,0.00016995792556324425,0.2755416070586249,0.0017481164924593728,0.0025272178359330155,0.3603695147157912
173.35000000000002,0.0001699148992415808,0.2755415937811504,0.0017481153277572048,0.0025266169388299398,0.3603694635546893
173.4,0.0001698718973030374,0.27554158051137995,0.0017481141637174513,0.0025260163622449205,0.3603694124230165
173.45000000000002,0.00016982891972614893,0.27554156724930673,0.0017481130003394463,0.0025254161059118374,0.3603693613207466
173.5,0.00016978596648942412,0.27554155399492364,0.001748111837622579,0.0025248161695629046,0.3603693102478534
173.55,0.00016974303757153681,0.27554154074822423,0.00174811067556635,0.0025242165529359983,0.3603692592043108
